Date,Product,Category,Region,Quantity Sold,Sales,Revenue
2023-01-01,Monitor,Accessories,East,11,8935,11307.69589240898
2023-01-02,Keyboard,Accessories,West,1,7093,8004.229724563122
2023-01-03,Tablet,Accessories,North,13,9418,11155.67445977931
2023-01-04,Keyboard,Accessories,West,19,6355,8007.471709620279
2023-01-05,Keyboard,Accessories,East,3,5968,7742.661087399864
2023-01-06,Phone,Electronics,North,17,6574,8364.624987700425
2023-01-07,Tablet,Accessories,East,5,5072,5796.62048900771
2023-01-08,Tablet,Electronics,East,8,3257,3578.764336645286
2023-01-09,Tablet,Accessories,South,14,9588,11240.473912163592
2023-01-10,Keyboard,Electronics,North,4,5424,6700.865808689673
2023-01-11,Monitor,Accessories,South,11,4237,4970.60378819543
2023-01-12,Tablet,Electronics,North,15,4893,5728.700991048445
2023-01-13,Keyboard,Accessories,East,19,3005,3784.970603837703
2023-01-14,Phone,Electronics,East,7,3016,3439.2984494166585
2023-01-15,Monitor,Accessories,West,19,2772,3506.4377096444705
2023-01-16,Phone,Electronics,North,19,9353,10771.861325825366
2023-01-17,Monitor,Accessories,South,11,4976,5633.121983463854
2023-01-18,Keyboard,Electronics,West,5,2751,3200.781561427593
2023-01-19,Laptop,Electronics,West,5,9967,12365.177209278103
2023-01-20,Monitor,Accessories,West,8,8430,9117.049273723369
2023-01-21,Phone,Accessories,South,10,8170,8979.686248418595
2023-01-22,Keyboard,Electronics,West,6,7469,9619.035350719409
2023-01-23,Monitor,Accessories,South,15,4220,4616.143666887332
2023-01-24,Laptop,Electronics,West,16,1539,1834.3830855739732
2023-01-25,Laptop,Electronics,South,17,2461,2940.473225613757
2023-01-26,Tablet,Electronics,East,8,6184,7250.159418329678
2023-01-27,Tablet,Accessories,East,8,9547,11563.19572204072
2023-01-28,Phone,Electronics,East,9,1234,1366.6015449085653
2023-01-29,Monitor,Electronics,East,2,2548,3027.4458645737886
2023-01-30,Monitor,Accessories,East,15,8480,9693.007301123422
2023-01-31,Tablet,Accessories,West,18,5213,6335.967856111741
2023-02-01,Monitor,Accessories,West,3,2673,2901.022632859107
2023-02-02,Monitor,Accessories,West,17,7708,9193.480782249671
